Ticket_Loc,Issue_Date,Issue_Time,Route,Badge_Numb,Issue_Agen,Violation_,Violation1,Fine_Amt,Plate_Type,License_St,Vehicle_Ma,Vehicle_Co,Vehicle_St,Comment,Street_Num,Street_Nam,Lat,Long
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,2:47:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,LEXU,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,3:05:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,5:01:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,LEXU,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,5:01:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MNNI,7,2D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,5:21:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,TOYT,8,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,3:04:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,2,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,2:53:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,CHEV,3,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,3:06:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,1,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,3:09:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,CHEV,3,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,4:59:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,2:51:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,3:08:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,5:22:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,BMW,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,5:00:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,3,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,5:02:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,VOLK,1,SW,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,2:59:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,JEEP,1,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,5:02:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,3:02:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,VOLK,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,3:03:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,CHEV,3,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:31:00 PM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,CADI,7,4D,EXP: 11/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:26:00 PM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,AUDI,1,4D,EXP: 10/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:27:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,CA,LINC,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:22:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,FORD,8,4D,EXP: 08/14. INITIAL FAILURE 08/04/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:40:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:21:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:17:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,GMC,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:34:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:22:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,SUBA,7,SW,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:29:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,SUBA,7,SW,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:30:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,NISS,1,2D,INVALID PERMIT: SB166339,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,11:58:00 AM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,TOYT,7,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/23/2015 12:00:00 AM,4:57:00 PM,SB,203,1,322,EXPIRED/NO PLATE,40,PA,MA,NISS,1,4D,EXP: 10/13,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,12:07:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,TOYT,8,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,5:38:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,4:55:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,2,PU,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:40:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,NY,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,1:09:00 PM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,HYUN,8,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,4:29:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,BMW,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:36:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:26:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,6,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:31:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:27:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:33:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,VOLV,1,SW,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:16:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,5:37:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,11:43:00 AM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,KIA,2,4D,EXP: 09/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:28:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:32:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,1,4D,INVALID PERMIT: SB137682,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:36:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,4:36:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,VT,TOYT,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:14:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,4,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:25:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,PA,KIA,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:21:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,NISS,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:33:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,4,VN,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:41:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,2,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,11:44:00 AM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,KIA,2,4D,EXP: 04/14. INITIAL FAILURE 04/01/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,4:48:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,MAZD,3,VN,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:21:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:24:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,PA,KIA,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,4:32:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,VA,FORD,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:41:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,MERC,2,VN,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,4:50:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,1,PU,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,5:57:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,TOYT,1,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:35:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:35:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,PA,KIA,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:34:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,LEXU,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:29:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,RI,VOLK,2,2D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:38:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,4,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:20:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,FORD,8,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,4:53:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,11:55:00 AM,SB,218,1,71,HP-DV PLATE,120,PA,MA,DODG,8,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:27:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,NISS,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:28:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,5:36:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,2,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,4:36:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,TOYT,8,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:24:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ACUR,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:32:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,CO,MA,GMC,7,PU,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:21:00 PM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,LEXU,1,4D,EXP: 08/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:31:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,NISS,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:34:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ISUZ,8,PU,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:19:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:42:00 PM,SB,218,1,71,HP-DV PLATE,120,PA,MA,TOYT,2,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,5:38:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,11:37:00 AM,SB,218,1,71,HP-DV PLATE,120,PA,MA,JEEP,7,4D,NO HP PLACARD,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/26/2015 12:00:00 AM,3:28:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HYUN,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:24:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:30:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,LNDR,8,4D,EXP: 08/14. INITIAL FAILURE 08/22/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:38:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,4:30:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,DODG,8,VN,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:24:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:16:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,MERZ,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,4:33:00 PM,SB,218,1,322,EXPIRED/NO PLATE,40,PA,MA,TOYT,7,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:39:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,,CT,HYUN,7,2D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,4:40:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,ROVE,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/27/2015 12:00:00 AM,2:29:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,4:40:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,LNDR,1,4D,EXP: 08/14,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,2:20:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:33:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/25/2015 12:00:00 AM,4:37:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,SUBA,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / W BROADWAY,02/24/2015 12:00:00 AM,2:29:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,LINC,7,4D,,0,*AT PUBLIC LOT,,
1 BEACON ST,02/27/2015 12:00:00 AM,9:27:00 AM,A10,131,1,14,NO STOP OR STAND,75,CO,MA,FRHT,7,TK,NO STOPPING - ANYTIME,1,BEACON ST,42.3585,-71.0608
1 BEACON ST,02/25/2015 12:00:00 AM,8:45:00 AM,A10,131,1,14,NO STOP OR STAND,75,CO,MA,FRHT,7,TK,NO STOPPING - ANYTIME,1,BEACON ST,42.3585,-71.0608
1 BERKELEY ST,02/24/2015 12:00:00 AM,1:12:00 PM,B13,152,1,99,OVER METER LIMIT,25,CO,MA,FORD,4,4D,,1,BERKELEY ST,,
1 BRIGHTON AVE,02/24/2015 12:00:00 AM,12:25:00 PM,F02,246,1,329,OVER POST LIM-ZONE B,25,PA,MA,CHRY,2,4D,,1,BRIGHTON AVE,42.3524,-71.1253
1 BRIGHTON AVE,02/24/2015 12:00:00 AM,12:26:00 PM,F05,212,1,329,OVER POST LIM-ZONE B,25,PA,MA,HYUN,2,4D,,1,BRIGHTON AVE,42.3524,-71.1253
1 BROOK MARSHALL RD,02/23/2015 12:00:00 AM,12:39:00 PM,D04,179,1,63,RESIDENT PARK ONLY,40,PA,MA,HOND,2,4D,,1,BROOK MARSHALL RD,,
1 BROOK MARSHALL RD,02/23/2015 12:00:00 AM,12:40:00 PM,D04,179,1,63,RESIDENT PARK ONLY,40,PA,MA,LEXU,8,4D,,1,BROOK MARSHALL RD,,
1 BROOK MARSHALL RD,02/26/2015 12:00:00 AM,9:25:00 AM,D05,179,1,63,RESIDENT PARK ONLY,40,PA,MA,LEXU,8,4D,,1,BROOK MARSHALL RD,,
1 BROOK MARSHALL RD,02/27/2015 12:00:00 AM,11:51:00 AM,D05,179,1,63,RESIDENT PARK ONLY,40,PA,MA,SUBA,4,4D,,1,BROOK MARSHALL RD,,
1 BROOK MARSHALL RD,02/23/2015 12:00:00 AM,12:41:00 PM,D04,179,1,63,RESIDENT PARK ONLY,40,PA,MA,NISS,1,4D,,1,BROOK MARSHALL RD,,
1 BROOK MARSHALL RD,02/26/2015 12:00:00 AM,9:24:00 AM,D05,179,1,63,RESIDENT PARK ONLY,40,PA,MA,LEXU,6,4D,,1,BROOK MARSHALL RD,,
1 BURROUGH ST LOT,02/26/2015 12:00:00 AM,3:56:00 PM,JP,116,1,329,OVER POST LIM-ZONE B,25,PA,MA,HYUN,3,4D,,1,BURROUGH ST LOT,,
1 BURROUGH ST LOT,02/26/2015 12:00:00 AM,3:52:00 PM,JP,116,1,71,HP-DV PLATE,120,,PA,HOND,4,4D,,1,BURROUGH ST LOT,,
